GEOID,B02001_003E,B02001_001E,SUMLEVEL,ST,COUNTY,B19080_001E,B19080_002E,B19080_003E,B19080_004E,B19080_005E,B19081_001E,B19081_002E,B19081_003E,B19081_004E,B19081_005E,B19081_006E,B19013_001E,B01003_001E,COMPONENT,B19083_001E
05000US06015,987,28729,050,06,015,15436,29370,48668,78830,125350,9761,22054,38405,62181,123595,200356,38408,28729,00,0.448
05000US06017,776,175941,050,06,017,32227,57471,86134,130282,225506,18557,44914,70974,106158,209318,335649,70765,175941,00,0.423
05000US06019,45741,890750,050,06,019,19336,35977,58084,93517,162328,11101,27279,46491,74326,152817,254484,46230,890750,00,0.456
05000US06021,193,27891,050,06,021,20035,33315,50131,82554,130467,11611,25871,41328,64533,128836,211408,40973,27891,00,0.431
05000US06023,1387,129003,050,06,023,16485,30372,49819,82133,141853,9523,23078,39561,63983,143670,261237,39124,129003,00,0.48
05000US06025,5783,160034,050,06,025,15959,29252,49354,81663,140888,9578,22174,38231,63790,134284,224014,37595,160034,00,0.467
05000US06027,36,17438,050,06,027,22187,38225,58239,95727,147703,13372,29737,46395,75333,139895,214220,44952,17438,00,0.419
05000US06029,44601,780953,050,06,029,19478,36499,57785,93027,158766,11252,27648,46492,73887,151948,253577,46216,780953,00,0.453
05000US06031,11356,146696,050,06,031,21821,37004,57329,89709,142781,13074,29346,46828,70628,134383,204713,46595,146696,00,0.413
05000US06033,1523,64756,050,06,033,16777,32304,51760,80298,131782,10327,23854,41415,63408,122898,183344,41182,64756,00,0.43
05000US06035,3503,34428,050,06,035,20894,40517,59673,90339,144704,13213,30654,49585,74456,136194,210180,48653,34428,00,0.407
05000US06037,862521,9785295,050,06,037,22226,42835,68779,111419,212489,12328,32242,55176,87816,206959,384351,54828,9785295,00,0.491
05000US06039,5901,144794,050,06,039,21784,37312,55938,91823,156229,12896,29290,46286,71662,150748,255914,46083,144794,00,0.441
05000US06041,7829,246711,050,06,041,36306,69734,108167,176906,361558,19801,52731,88217,137407,339313,630932,87728,246711,00,0.494
05000US06043,100,17865,050,06,043,20180,41710,60992,87961,141792,12233,32207,49390,74088,129710,185474,47808,17865,00,0.395
05000US06045,612,86030,050,06,045,18540,34342,53389,86732,150008,10132,26154,43545,67484,146656,258432,43404,86030,00,0.463
